pi_name,institution,title,abstract,amount,notice_date
"ABBOTT, DEREK W",NATIONAL JEWISH HEALTH,Innate Immune Signal Transduction Specificity in Inflammatory Disease,"ABSTRACT
The NOD2:RIPK2 complex helps a cell recognize and respond to an intracellular bacterial infection. Activation
of this pathway initiates a cytokine response that helps tailor the adaptive immune system to eradicate the
offending pathogen. Signaling from this complex must be precisely tailored. Too little inflammation can cause
immunodeficiency that can manifest in dysbiosis while too much inflammation can manifest in inflammatory
disease. Over the past decade, my lab has worked to understand this signaling system with the goal of
identifying drug targets such that when the NOD2:RIPK2 complex is hyperactive and therefore
hyperinflammatory, we have pharmacologic tools to inhibit it. To this end, we have now developed agents for
RIPK2 that inhibit its kinase activity. These inhibitors are now at the Pre-IND stage and we anticipate filing for
an IND in late 2020 or early 2021. Despite this chemical success, key questions surrounding RIPK2’s kinase
activity remain. While some studies suggest that kinase activity is necessary for function, others suggest it is
not. We don’t know the kinase-dependent versus kinase-independent signaling pathways that are activated or
inhibited. We don’t know any bone fide RIPK2 substrates, and we don’t know which patients will particularly
benefit from RIPK2 inhibition. To this end, we have developed phosphoproteomic and phospho-substrate
databases utilizing mass spectrometry and chemical genetics. This grant application aims to leverage these
unpublished databases to i) identify novel RIPK2 substrates, ii) identify novel RIPK2 kinase-regulated signaling
pathways and iii) identify patient populations in which RIPK2 targeting might be most efficacious. Better
understanding RIPK2’s kinase activity is highly significant as RIPK2 inhibitors enter the clinic over the next few
years.",165000,2026-02-09T00:00:00
"ABDI, REZA ",BRIGHAM AND WOMEN'S HOSPITAL,The novel role of beta3 integrin in regulating alloimmunity,"Abstract
Heart transplantation is the optimal therapy for patients with irreversible, end-stage heart disease. However, a
several challenges remain to improve allograft and recipient survival. Immunosuppressive agents used to
prevent rejection have improved, but they still cannot consistently eliminate acute and chronic rejection, and they
are implicated in the pathogenesis of organ failure. New insights into how innate and adaptive immunity
contribute to rejection, identification of new therapeutic targets, and novel approaches to promote immune
tolerance are major unmet needs in transplantation. Early innate inflammatory responses in the organs (e.g.,
due to ischemia-reperfusion injuries) enhance acute and chronic heart allograft rejection. Integrins are
heterodimeric cell surface receptors involved in immune cell trafficking and signaling; therefore, they are
attractive targets to inhibit inflammation, including transplant rejection. The main goal of this project is to elucidate
the novel role of β3 integrin in regulating alloimmune responses via control of platelet- and T cell- mediated
immunity. Our ultimate objective is to develop new anti-β3 integrin-based strategies to promote engraftment. Our
data indicate that β3 integrin-/- mice (β3-/-) show significantly prolonged heart allograft survival in comparison to
wild-type (WT) mice, a finding that is associated with reduced CD8+ T cell infiltration into the grafts. We also
show that β3 is expressed by activated CD8+ T cells, and that the trafficking of T cells from β3-/- mice is impaired.
Notably, targeting β3 integrin also substantially reduces lesions typical of chronic rejection. The β3 subunit is
shared by the two integrin molecules, αVβ3 and αIIbβ3, which are expressed by T cells and platelets,
respectively. Based on extensive preliminary data, our specific hypothesis is that β3 on both cell types
contributes to rejection. In this proposal, we aim to define the relative roles of β3 integrins expressed on platelets
(in early promotion of inflammatory responses) and T cells (in enhancement of alloimmunity) in mediating
allograft rejection. Furthermore, our targeted delivery method of therapeutics usingnanoparticles (NPs) has
emerged as a promising method that increases efficacy and reduces side effects. Here, we have developed first-
in-class NPs for targeted delivery of cyclic RGD tripeptides (cRGD) to suppress β3 integrin- mediated recruitment
of platelets and T cells for early reduction of chronic rejection, using a murine model of heart transplantation. In
this proposal, we present three main aims to determine the roles of αIIbβ3 on platelets (Aim 1) and T cell-
expressed β3 (Aim 2) in regulating alloimmunity. In Aim 3, we will perfuse organs prior to transplantation with
NPs carrying cRGD to promote graft acceptance.",749489,2026-01-21T00:00:00
"ABEL, EDWIN TED G.",UNIVERSITY OF IOWA,Elucidating learning-induced molecular signatures in hippocampal mature oligodendrocytes at single-cell and spatial resolution: Implications for hippocampal function,"Project Summary/Abstract
Neuronal plasticity is fundamental for cognitive and behavioral processes. Emerging evidence has shed light on
the role of oligodendrocytes in regulating activity-dependent plasticity. Although primarily recognized for their role
in forming myelin, mature oligodendrocytes also perform additional metabolic functions that facilitate energy-
efficient and rapid saltatory conduction in white matter tracts across neuronal circuits. Although it is established
that myelin plasticity can influence neurophysiology and behavior, a comprehensive understanding of the
molecular mechanisms by which mature oligodendrocytes regulate hippocampal function remain elusive. Recent
reports have identified the presence of distinct mature oligodendroglial subtypes within the hippocampus that
differ in their transcriptomic profiles, topographical distribution, and myelination characteristics, and it is likely
that these mature oligodendroglial subclasses also exhibit differences in cell-type-specific and spatial molecular
signatures during long-term memory storage. Our preliminary findings provide evidence of rapid changes in
transcriptomic signatures in mature myelinating oligodendrocytes within the first hour after spatial learning, likely
reflecting myelin-independent aspects of mature oligodendroglial function. The rapid and dynamic changes
observed in the transcriptomic landscape, coupled with the diversity in mature oligodendroglial cell types,
necessitate a thorough molecular investigation to fully comprehend the role of these cells in hippocampal
function. This proposal aims to elucidate the molecular signatures of mature oligodendroglial subtypes at single-
cell and spatial resolution during memory consolidation and investigate the functional consequences of
manipulating mature oligodendroglial gene expression on activity-dependent oligodendroglial plasticity
underlying hippocampal memory consolidation. The research will be conducted in two aims. In Specific Aim 1,
we will identify learning-induced molecular signatures in mature oligodendrocyte subtypes using cutting-edge
single-cell multiomics and high-plex in situ approaches. In Specific Aim 2, we will develop in vivo strategies of
gene manipulation specifically targeting mature myelinating oligodendrocytes. We will then examine functional
signatures of activity-dependent oligodendroglial plasticity in vivo, by quantifying myelination changes after
learning and utilizing fiber-photometry to investigate the dynamics of calcium and glucose in mature myelinating
oligodendrocytes during spatial learning. The expected outcomes of this exploratory/developmental R21
proposal will provide unprecedented insights into the functional heterogeneity of mature oligodendrocytes during
memory consolidation, laying the groundwork for future research to investigate the mechanistic relationship
between transcriptomic changes that underlie learning-dependent oligodendroglial plasticity and hippocampal
memory consolidation. These findings will significantly advance our understanding of long-term memory and
offer novel avenues for therapeutic interventions for cognitive impairments associated with neurodevelopmental,
neuropsychiatric, and neurodegenerative disorders.",231350,2026-02-04T00:00:00
"ABRAHAM, SOMAN N",DUKE UNIVERSITY,BCG-Mediated Immunotherapy Against Bacteria,"Abstract
 Up to 3.5 billion dollars is spent each year, in the US alone, to manage bladder infections and their
recurrence. The intractability of these infections is attributable, in part, to the capacity of bladder bacteria to
persist in the bladder long after infection resolution only to remerge as another flareup. In view of the fact that
antibiotics are largely ineffective there is a dire need for alternate approaches to protect against these
infections. We have found that a single bladder treatment of live attenuated Bacillus Calmette-Guerin (BCG),
an FDA approved therapy for bladder cancer, along with a peptide capable of disrupting the superficial
epithelium was highly efficacious in protecting against uropathogenic E.coli (UPEC) mediated infection. Since
tumor fighting properties of BCG is associated with their persistence in the bladder and their capacity to recruit
Th1 cells, the protection against UPEC is probably also mediated, at least in part, by Th1 cells. We
hypothesize that we can prolong the duration of this protection by simultaneously inducing bladder recruitment
of E.coli specific Th1 cells which typically have an indefinite life span. Thus, we believe that supplementing the
BCG and epithelial disruptor peptide formulation with UPEC antigens would markedly prolong and enhance the
protective capacity of BCG immunotherapy against UPEC bladder infections. The following specific aims are
proposed: (i) Determine cellular targets of BCG uptake and persistence in the bladder, (ii) Identify the
immunological basis of cross-protection induced by co-treatment with BCG bladder and epithelial disruptor
peptide (iii) Evaluate the efficacy and durability of intravesical administration of an optimized formulation
comprising of epithelial disruptor peptide/BCG/ UPEC antigens in combating recurrent bladder infections.
 It is expected that these studies will reveal a distinct, effective, and long-lasting strategy to combat
intractable bladder infections. Since this strategy involves repurposing a currently utilized bladder therapy, its
implementation could be relatively rapid.",610124,2026-02-04T00:00:00
"ABRAHAMS, VIKKI M",YALE UNIVERSITY,Mechanisms regulating fetal membrane and neutrophil responses to infection,"Summary/Abstract
Chorioamnionitis - inflammation of the fetal membranes (FM) - is characterized by neutrophil infiltration and is
a major risk factor for preterm birth. Even in the absence of prematurity, chorioamnionitis can be detrimental to
the fetus. Despite a strong association between bacterial infection, chorioamnionitis, and preterm birth, the
mechanisms involved are not fully understood. Through expression of the innate immune pattern recognition
receptors (PRR), Toll-like receptors (TLRs) and Nod-like receptors (NLRs), FMs have strategies to evade and
protect against infection. However, depending upon the nature of signaling and regulation, these protective
immune mechanisms may create an inflammatory milieu that can contribute to pathology. In particular, IL-8 is a
major neutrophil chemoattractant and inflammasome-mediated IL-1b is a major inducer of tissue injury and
mediator of preterm birth. We have found that the chorionic compartment is the primary site of FM IL-8 and IL-
1b production in response to bacterial lipopolysaccharide (LPS), peptidoglycan (PDG), and muramyl dipeptide
(MDP) which activate TLR4, TLR2, and Nod2, respectively. While TLRs and NLRs can directly activate
signaling pathways leading to inflammatory cytokine/chemokine production, there is the potential for far more
complex modulation, regulation, and fine-tuning of these processes and the type of responses generated,
particularly for IL-1b. This grant focusses on the requirement of two or more PRRs to be activated sequentially
in FMs exposed to bacterial triggers via novel intermediates. A non-classical family of microRNAs (miRs)
activate the ssRNA sensors, TLR7 and TLR8, to elicit an inflammatory response. These miRs can also be
carried in exosomes and delivered to TLR7 or TLR8 in target cells. Our preliminary data supports the concept
that TLR8-activating miR-146a-3p may acts as a novel intermediate signal that drives FM chemotactic and
inflammatory responses to bacterial TLR and NLR agonists. We also have preliminary data demonstrating that
FM-derived exosomes containing TLR8-activating miRs trigger neutrophil activation and release of neutrophil
extracellular traps. Finally, we found that FM tissue and circulating exosomal TLR8-activating miR-146a-3p is
elevated in women with preterm birth. Based on this, our central hypothesis is that TLR8-activating miRs
mediate FM chemotactic IL-8 and inflammasome-mediated inflammatory IL-1b in response to bacterial
triggers, and through their release and delivery via exosomes active maternal neutrophils. This leads
to inflammation at the maternal-fetal interface, increasing the risk for chorioamnionitis. To test this, our
specific aims are to determine if:
Aim 1. TLR8-activating miRs mediate a FM chemotactic IL-8 response after exposure to bacterial triggers.
Aim 2. TLR8-activating miRs contribute to FM inflammasome activation and inflammatory IL-1b production.
Aim 3. FM exosomes containing TLR8-activating miRs induce neutrophil activation.",703356,2026-02-13T00:00:00
"ABRANTES, ANA M","BUTLER HOSPITAL (PROVIDENCE, RI)",tDCS to Decrease Opioid Relapse,"Buprenorphine has emerged as a leading treatment for opioid use disorder (OUD), but recipients have high
early relapse rates likely due to varying degrees of dysfunction within craving and cognitive control neuronal
networks. Transcranial direct current stimulation (tDCS) may have promise as adjuvant treatment for
buprenorphine initiators because considerable work on addictive substances suggests treatment targeted at the
dorsolateral prefrontal cortex (DLPFC; region involved in self-regulation) may reduce craving and drug
consumption. We will measure behavioral and brain responses following tDCS stimulation to the DLPFC
delivered during cognitive control network (CCN) priming. Participants in their first week of prescribed
buprenorphine will be assessed twice using FMRI, once prior to tDCS+CCN priming and again at the
completion of 5 sessions of tDCS+CCN priming (one week later). Task-based and resting state functional
connectivity will be used to examine networks associated with craving (CR) and cognitive control. In the UG3
phase (n=60), FMRI will provide validation of expected changes in these networks following tDCS stimulation.
Go/no go criteria for the UH3 phase will be demonstration of greater FMRI change in any node of the CR or
CCN networks AND greater change in subjective craving measured prior to (outside FMRI scan) or during an
FMRI cue reactivity task following the tDCS+CCN priming intervention compared to sham tDCS+CCN
priming. In the UH3 phase (n=100), we will perform a larger RCT (vs. sham control) to address long-term
neurobehavioral outcomes, including opioid relapse, craving, and sustained fMRI changes. Because tDCS is
safe, inexpensive and portable, if this intervention provides FMRI validation of targeted brain effects and
produces clinical response, it could have great impact augmenting the care of persons entering buprenorphine
treatment, a population at high risk for treatment failure.",498005,2026-01-29T00:00:00
"ABREU, NICOLAS JULIAN",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,Quantitative Gait Metrics to Assess and Predict Gross Motor Impairment in Young Children with Neurofibromatosis Type 1,"Project Summary/Abstract
Most children with neurofibromatosis type 1 (NF1), one of the most common inherited neurological disorders in
the United States, experience difficulties with large muscle movements. Current methods of measuring gross
motor impairment in young children with NF1 are time- and resource-intensive, reliant on coarse scoring from a
proxy typically based on the presence or absence of abilities without regard to the quality of function. These
limitations hamper counseling in the clinic on the severity of gross motor difficulties, prediction of future
function, and guidance on treatment planning. The objective of this K23 proposal is to develop office-based
tools to quantify gait in young children with NF1 that reflect overall gross motor impairment and predict future
gross motor difficulties. In this prospective observational study of ambulatory children less than six years old
with NF1, we will evaluate gait speed as the fastest time to walk 10 meters and interlimb coordination derived
from artificial intelligence-based pose estimates from video. We will conduct office-based gait assessments
with video, clinical exams, and neurodevelopmental evaluations during routine medical visits at baseline, 12
months, and 24 months at one of the largest NF1 centers in the U.S., the NYU Comprehensive
Neurofibromatosis Center. Using this design, our specific aims are to: (1) evaluate how well gait speed and
interlimb coordination reflect gross motor impairment compared to currently available neurodevelopmental
assessments; (2) determine the test-retest reliability of gait speed and interlimb coordination; and (3)
investigate the prognostic ability of gait speed and interlimb coordination to predict gross motor impairment up
to two years later. We expect these findings will result in improved developmental surveillance in clinic and
inform clinical trial design with the addition of performance-based endpoints. This proposal aligns with the
NINDS strategic plan of “seeing more precisely – develop and validate biomarkers and outcome measures that
stimulate therapy development and improve patient care.” During this five-year award, Dr. Abreu will complete
the following training goals: (1) gain fluency in advanced statistical methodologies for outcome measure
development and predictive analyses; (2) deepen knowledge of clinical gait analysis; and (3) grow his skillset
in pediatric NF1 clinical trial readiness. Dr. Abreu is ideally positioned to accomplish this work based upon his
unique background and a stellar mentorship team, including primary mentor, Dr. Heidi Schambra (leader in
quantitative motor assessment in neurological disorders), and co-mentors, Drs. Kaleb Yohay (leader in NF1)
and Moriah Thomason (leader in early childhood neurodevelopment). His training program will be enriched by
a scientific advisory committee with complementary expertise. This K23 award will advance Dr. Abreu towards
his goal of becoming an independent physician-scientist studying quantitative motor assessment in NF1 and
other pediatric neurogenetic disorders, including an R01-level submission treating gross motor impairment in
early NF1.",247995,2026-01-23T00:00:00
"ACHENBACH, CHAD J",NORTHWESTERN UNIVERSITY AT CHICAGO,Chicago Clinical Trials Unit,"Project Summary. The Chicago Clinical Trials Unit (CCTU) is a consortium of four Clinical Research Sites
(CRSs) which will address two priority clinical research areas of the NIAID: 1) adult HIV/AIDS therapeutic
strategies, including novel therapeutics, HIV cure, noninfectious comorbidities, and infectious comorbidities
of hepatitis B and tuberculosis; and 2) integrated HIV prevention strategies, including novel long-acting ARV-
based HIV prevention agents and delivery systems for Pre-exposure Prophylaxis (PrEP), multi-purpose
prevention technologies, integrated biomedical and socio-behavioral HIV prevention strategies, and
collaborative protocols with the HIV Vaccines Network testing antibody-mediated prevention strategies. The
CCTU consists of four highly experienced and scientifically productive CRSs that are uniquely positioned to
develop, implement and adapt the clinical research priorities of the NIAID clinical research priority areas. The
CCTU has a proven track record and will continue its productivity through active engagement with a diverse
host of at-risk and HIV-impacted communities, participation in high impact, ground-breaking clinical research
studies, efficient management of resources and critical performance oversight of the clinical activities,
laboratories, and pharmacies. Compliance with all relevant rules and regulations is a priority of the
consortium. The CCTU includes CRSs and personnel that have long-term productive involvement with the
two research networks with which the CCTU is affiliated, and platforms for inter-network collaboration with
the other NIAID networks. The CRSs and their network affiliations are: Northwestern University (adult
HIV/AIDS therapeutic strategies); Rush University (adult HIV/AIDS therapeutic strategies); Trinity Health &
Wellness Center (adult HIV/AIDS therapeutic strategies); and The Ruth L. Rothstein CORE Center (HIV
prevention and adult HIV/AIDS therapeutic strategies). The cities of Chicago and Dallas, where the CRSs
are located, are in Cook and Dallas counties, two of the 48 “hot spots” counties where half of new HIV
diagnoses in the US were concentrated in 2016 and 2017. The aims of this proposal are: development,
implementation and adaptation of the clinical research program of the 1) Adult HIV/AIDS Therapeutics
Strategies Clinical Trials Network in four CRSs, and 2) HIV Prevention Network in one CRS, in synergy with
all CCTU elements, and 3) To ensure all CCTU research is relevant to HIV impacted populations and
ethical through dynamic engagement of the community in all phases of the research. The CCTU is
well-positioned to reach diverse populations and contribute significantly to the NIAID research agenda.
RELEVANCE: The phenomenal scientific advances in HIV/AIDS research over the past 35 years have in
large part been due to NIAID's high-impact therapeutic and prevention studies being performed by its clinical
trials units (CTUs). The CCTU will continue to respond rapidly to emerging clinical research needs, engage
constituents, and identify more effective treatment and prevention strategies.",615750,2026-01-24T00:00:00
"ACOTT, TED S",OREGON HEALTH & SCIENCE UNIVERSITY,Gene Expression and Manipulation Core,"PROJECT SUMMARY - GENE EXPRESSION & MANIPULATION
The Gene Expression & Manipulation core is focused on providing support and assisting and facilitating specific
studies relating to gene expression and manipulation. Most of the types of studies supported by this core fall
within the range of ocular molecular biology, biochemistry, and cell biology. This includes evaluating,
quantitatively, the temporal effects of treatments, conditions or disease states on gene expression and protein
levels in ocular tissues. We also support studies focused on determining the effects of individual gene
manipulation on ocular processes and cells. This includes knockdown of specific gene expression levels in cells
or tissues by RNAi silencing, increases in specific gene expression by overexpression using vectors, and
modulation of activity or function of specific genes by expressing modified forms, e.g. by transfecting or infecting
genetic mutant, dominant negative, constitutively active, or alternatively spliced gene constructs. Manipulation
methods include construct transfection, gene or RNAi delivery via infection with recombinant viral constructs
such as lentivirus, or by lipid nanoparticles. We have recently been assisting investigators with CRISPR/Cas9
gene editing, including base and prime editing studies aimed at disease modeling with the intention of future
disease related modifications or stem cell manipulation. This core maintains various instruments that support
these types of studies. The core co-Directors and personnel have experience with all of these methods and will
facilitate and assist core users with any of the described techniques that they deem of value to their
investigations. In addition to providing this service to NEI-funded investigators, we actively support efforts of new
and young investigators, to develop pilot or preliminary data that can be leveraged into future foundation and
NEI funding.",160802,2026-02-06T00:00:00
"ADAMS, JULIA M",UNIVERSITY OF CALIFORNIA LOS ANGELES,Functions and mechanisms of Crym-positive astrocytes in the nucleus accumbens,"Project Summary/Abstract
Astrocytes are ubiquitous CNS cells that make extensive contacts with neurons. Astrocytes serve diverse
roles, including ion homeostasis, neurotransmitter clearance, and contributions to neurovascular coupling,
which position them as critical components of neural circuits that contribute to brain physiology and
disease. Once thought of as homogeneous, recent studies have highlighted astrocyte heterogeneity
across and within brain regions. As tools to study astrocytes have improved, one important goal is to
determine if defined populations of astrocytes regulate behaviors associated with the brain region they are
located in. An ideal population to explore this larger question is the newly discovered subpopulation of
Crym+ astrocytes within the nucleus accumbens (NAc), a structure within the ventral striatum that is well
characterized in the context of rewarding behaviors and addiction. The focus of this application is thus to
determine the role(s) of Crym+ astrocytes in behaviors relevant to the NAc. Crym encodes the protein µ-
crystallin that was recently identified in a specific population of central striatal astrocytes to regulate
perseverative behaviors of mice. The current application seeks to elucidate the functions of Crym+ NAc
astrocytes (~45%) using integrated molecular, cellular, and physiological assessments during natural
behaviors and a model of fentanyl-evoked opioid use disorder (OUD). I will test the hypothesis that
astrocytes in the NAc have separable properties relative to the dorsal striatum, contribute to goal-
directed behaviors, and that they are altered in a clinically relevant model of opioid use disorder
(OUD) where goal-directed behaviors are disrupted. This hypothesis is based on exciting preliminary
data described in the application, including data showing that Crym expression is decreased in NAc
astrocytes in the OUD model. I will test this hypothesis with three Specific Aims. Aim 1 will characterize
basic biological properties of astrocytes in the NAc. Aim 2 will assess functions of Crym+ NAc astrocytes
during goal-directed behaviors. Aim 3 will determine how NAc astrocytes are altered in a model of fentanyl-
evoked OUD. The aims are logically related to address my hypothesis but are not interdependent so that
success in any one is not contingent on the other. The completion of the proposed experiments will provide
me with rigorous training in state-of-the-art methods and allow me to directly address the functions of a
molecularly defined population of astrocytes in the NAc.",45228,2026-01-27T00:00:00
