pi_name,organization,project_title,award_amount,start_date,award_date,abstract
"ABRAHAMS, VIKKI M",,Mechanisms regulating fetal membrane and neutrophil responses to infection,703356,,2026-02-13T00:00:00,"Summary/Abstract
Chorioamnionitis - inflammation of the fetal membranes (FM) - is characterized by neutrophil infiltration and is
a major risk factor for preterm birth. Even in the absence of prematurity, chorioamnionitis can be detrimental to
the fetus. Despite a strong association between bacterial infection, chorioamnionitis, and preterm birth, the
mechanisms involved are not fully understood. Through expression of the innate immune pattern recognition
receptors (PRR), Toll-like receptors (TLRs) and Nod-like receptors (NLRs), FMs have strategies to evade and
protect against infection. However, depending upon the nature of signaling and regulation, these protective
immune mechanisms may create an inflammatory milieu that can contribute to pathology. In particular, IL-8 is a
major neutrophil chemoattractant and inflammasome-mediated IL-1b is a major inducer of tissue injury and
mediator of preterm birth. We have found that the chorionic compartment is the primary site of FM IL-8 and IL-
1b production in response to bacterial lipopolysaccharide (LPS), peptidoglycan (PDG), and muramyl dipeptide
(MDP) which activate TLR4, TLR2, and Nod2, respectively. While TLRs and NLRs can directly activate
signaling pathways leading to inflammatory cytokine/chemokine production, there is the potential for far more
complex modulation, regulation, and fine-tuning of these processes and the type of responses generated,
particularly for IL-1b. This grant focusses on the requirement of two or more PRRs to be activated sequentially
in FMs exposed to bacterial triggers via novel intermediates. A non-classical family of microRNAs (miRs)
activate the ssRNA sensors, TLR7 and TLR8, to elicit an inflammatory response. These miRs can also be
carried in exosomes and delivered to TLR7 or TLR8 in target cells. Our preliminary data supports the concept
that TLR8-activating miR-146a-3p may acts as a novel intermediate signal that drives FM chemotactic and
inflammatory responses to bacterial TLR and NLR agonists. We also have preliminary data demonstrating that
FM-derived exosomes containing TLR8-activating miRs trigger neutrophil activation and release of neutrophil
extracellular traps. Finally, we found that FM tissue and circulating exosomal TLR8-activating miR-146a-3p is
elevated in women with preterm birth. Based on this, our central hypothesis is that TLR8-activating miRs
mediate FM chemotactic IL-8 and inflammasome-mediated inflammatory IL-1b in response to bacterial
triggers, and through their release and delivery via exosomes active maternal neutrophils. This leads
to inflammation at the maternal-fetal interface, increasing the risk for chorioamnionitis. To test this, our
specific aims are to determine if:
Aim 1. TLR8-activating miRs mediate a FM chemotactic IL-8 response after exposure to bacterial triggers.
Aim 2. TLR8-activating miRs contribute to FM inflammasome activation and inflammatory IL-1b production.
Aim 3. FM exosomes containing TLR8-activating miRs induce neutrophil activation."
"ADELMAN, ZACH N.",,Self-Eliminating Strategy To Control Gene Drive,749703,,2026-02-09T00:00:00,"The ability to deliver pathogen-resistance genes into mosquito populations has long been sought as a potential
alternative for disrupting dengue or malaria transmission where funds and infrastructure are the limiting factors
in effective mosquito control. While effective gene drive transgenes based on CRISPR/Cas9 have been
developed for model organism Drosophila and for malaria mosquitoes, Aedes aegypti, the most medically
important vector of dengue, yellow fever and chikungunya viruses, lags behind for reasons that remain largely
unexplored and unknown. In this project, D. melanogaster and A. aegypti will be employed to evaluate novel
hypotheses regarding how genome structure and DNA repair influence both homing gene drive and transgene
removal based on single strand annealing. Following from previous work, multigeneration cage experiments
will be performed on this transgene removal strategy in the context of an active gene drive in both flies and
mosquitoes, followed by a wave of transgene removal (Aim 1). Next, the role of local microhomology, nuclease
characterisics and DNA repair protein recruitment will be examined on both the rates of both homing gene
drive and transgene removal in A. aegypti, where gene drive has lagged behind (Aim 2). Finally, the role of
chromosomal position on both homing gene drive and transgene removal will be tested in the context of both
synthetic targets and new haplolethal target genes (Aim 3). This innovative approach takes advantage of
naturally occurring processes that are conserved throughout eukaryota to completely eliminate all transgenic
sequences following potential field releases. Thus, it is anticipated that this project will have a substantial
impact on National and International conversations concerning gene drive technology as a whole, and will raise
expectations for what is possible in any future trial to generate pathogen-resistant mosquitoes."
"AHN, ERIN EUN-YOUNG",,Genetic and molecular basis of hematopoietic abnormalities in ZTTK syndrome,493219,,2026-02-11T00:00:00,"PROJECT SUMMARY
Individuals with rare genetic diseases do not receive attention from the medical and research community. One
out of two patients diagnosed with a rare disease is a child, meaning that patients and their families must endure
long battles relating to disease progress throughout their child’s lifetime. Therefore, characterization of
clinical/molecular aspects of rare diseases will greatly benefit young patients and their families.
SON is a DNA- and RNA-binding protein that plays dual roles as an RNA splicing factor and a transcriptional
repressor. Our research team recently identified Zhu-Tokita-Takenouchi-Kim syndrome (ZTTK syndrome), a
rare genetic disease with multi-organ abnormalities caused by heterozygous loss-of-function mutations in the
SON gene (SON haploinsufficiency). Our research and publication played a key role in documenting this
syndrome in major public databases to facilitate clinical diagnosis. As a first step in supporting ZTTK families
and promoting awareness, we recently launched an official foundation, the ZTTK SON-Shine Foundation.
Our recent efforts revealed that many children with ZTTK syndrome experience various hematopoietic disorders
and immune dysfunction, which sometimes leads to life-threatening sepsis. To understand the hematopoietic
abnormalities associated with ZTTK syndrome, we have generated mouse models of Son knockout (KO) and
Son haploinsufficiency. Our preliminary data demonstrated that complete Son KO in hematopoietic cells causes
hematopoietic stem cell (HSC) expansion and embryonic lethality. Furthermore, we found that Son
haploinsufficiency leads to abnormal proportions of lineage-primed multipotent progenitors (MPPs), with an
expansion of megakaryocyte-erythroid lineage-primed MPPs and a shrinkage of lymphoid lineage-primed MPPs,
which is already evident during fetal liver hematopoiesis and persists in adult hematopoiesis in the bone marrow.
Importantly, our RNA-sequencing analyses revealed that critical chromatin modifier genes were the major targets
dysregulated by Son haploinsufficiency in early stage hematopoietic stem and progenitor cells (HSPCs).
Based on these preliminary data, our central hypothesis is that Son haploinsufficiency directly and indirectly
alters the expression/splicing of key chromatin modifiers, which collectively reshapes chromatin status at the
level of HSCs and MPPs, and this leads to skewed lineage bias and impaired functional output of HSCs/MPPs.
To test these hypotheses, we will investigate how Son haploinsufficiency affects functional output of HSCs and
lineage primed MPPs in vivo (Aim 1), and will dissect the underlying molecular mechanisms by which Son
haploinsufficiency leads to HSPC abnormalities (Aim 2). Successful completion of this proposed study will
significantly advance our knowledge about ZTTK syndrome-associated abnormal hematological features and
will serve as a valuable resource to identify therapeutic strategies. Most importantly, this study will bring hope to
children and their families battling this rare disease."
"ALMODOVAR, SHARILYN ",,Role of HIV gp120 and Nef in Transcriptome Dysregulation and Pulmonary Vascular Remodeling,647031,,2026-02-13T00:00:00,"PROJECT SUMMARY
 People living with HIV (PLWH) are at a significantly high risk of developing Pulmonary Hypertension (PH),
which can lead to death by heart failure, even with the suppressive effects of antiretroviral therapy (ART). PH is
characterized by phenotypic changes in endothelial cells that result in increased pulmonary artery pressures and
right ventricular hypertrophy. However, the underlying mechanism of how HIV contributes to the development of
HIV-PH is still not fully understood. Our team has previously identified an association between specific HIV
polymorphisms and the susceptibility to HIV-PH in patients. This proposal focuses on increasing the knowledge
of how the pulmonary vasculature responds to HIV and determining how specific HIV polymorphisms contribute
to the pathogenesis of HIV-associated vascular disease. To address this gap in knowledge, and guided by the
literature and our preliminary studies, we propose conducting experiments in human vascular cells in vitro and
in hu-mice to investigate the role of the CXCR4 signaling pathway elicited by HIV-PH polymorphisms in ECs, the
impact of HIV-PH variants and ART in SMC constriction in vitro and in pulmonary vascular hemodynamics in hu-
mice and transcriptomics (using scRNA-seq) and epigenomics (using scATAC-seq) changes induced by HIV-
PH in pulmonary vascular cell sub-populations in hu-mice. This proposal addresses high-priority research areas
established by the Office of AIDS Research and the NHLBI by addressing PH as an HIV-associated comorbidity
that is not improved by ART. Our findings will inform future therapeutic advances tailored to HIV-PH. The
strengths of this proposal build upon its multifaceted approach, compelling data on the role of HIV proteins in
PH, access to HIV-PH biospecimens, utilization of a novel mouse model of HIV-PH, and a strong team of
investigators with significant and complementary expertise."
"ALTO, NEAL MATHEW",,Defining virulence factor functions using minimal pathogen genomes,596318,,2026-02-10T00:00:00,"Project Summary
Pathogenic bacteria have developed an array of strategies to undermine the host's defense mechanisms. In
the context of non-Typhoidal Salmonella Typhimurium, a notable strategy involves the confinement of a single
bacterium within a host vacuole called the Salmonella Containing Vacuole (SCV). This approach potentially
provides an evolutionary advantage: by ensuring one bacterium per SCV, the host must target each SCV
individually to eliminate the bacterial load, as opposed to confronting a vacuole harboring multiple bacteria
clustered together. This mechanism could potentially extend the time required to combat the infection.
Moreover, a single bacterium residing within an SCV exploits all accessible nutrients for replication and
division. Conversely, multiple bacteria clustered within a single vacuole may engage in nutrient competition.
Hence, understanding the fundamental mechanism of bacterial division in conjunction with vacuolar scission is
imperative for gaining deeper insights into the pathogenic strategies employed by Salmonella enterica. Prior to
this proposal we engineered a series of genetically minimal pathogenic strains that eliminates redundancy
within the complex SPI-2 effector gene repertoire of Salmonella enterica serovar Typhimurium. Using this
unique resource, here we will determine how a small network of SPI-2 T3SS effector proteins coordinate the
complex events involved in SCV membrane scission and bacterial division within the host cell. This includes
determining the location and host substrates of effector proteins at the SCV membrane using single cell
particle tracking and live cell imaging (Aim 1). We will also investigate the molecular mechanisms of individual
effector proteins that target a novel Rab-family GTPase defense system of the host (Aim 2). The resulting
cellular and biochemical theories will be tested in murine models of systemic disease that are designed to
evaluate effector protein functions at single cell resolution (Aim 3). Developing new drugs that target bacterial
effector – host enzyme complexes would be an innovative approach to combat emerging infectious disease.
While this idea holds great potential, the paucity of mechanistic information gleaned from deep studies into
virulence factor functions has so far hampered their development as suitable drug targets. As a means to this
end, the work performed here will allow us to predict new mechanisms of action for understudied Salmonella
effector proteins and provide a glimpse into the structural-based evolutionary progression of a related
pathogen groups."
"AMBROSE, ZANDREA ",,Deciphering HIV-1 Resistance Pathways against Capsid Inhibitors in vitro and in Humanized Mice,790847,,2026-02-10T00:00:00,"PROJECT SUMMARY
The HIV-1 capsid, a cone-shaped protein shell, is a promising target for antiviral interventions, with
lenacapavir (LEN), a potent capsid inhibitor, demonstrating efficacy in treatment and prevention. However,
resistance to LEN has been reported in both in vitro and clinical contexts. Our preliminary studies have also
identified LEN-resistant mutations not previously observed. As the use of capsid inhibitors is expected to
expand in the future, a deeper understanding of drug resistance—especially its evolutionary trajectories and
impact on viral fitness and transmissibility—is crucial, with broad clinical implications. In this grant, we will
investigate HIV-1 resistance to LEN, exploring its potential and consequences using in vitro and in vivo
models. In Aim 1, we will elucidate how HIV-1 acquires increased resistance to LEN through rationally
designed, accelerated in vitro evolution approaches. We will use large-scale mutant libraries combined with
multiplex selection and viral adaptation to comprehensively map drug resistance pathways. These LEN-
resistant variants will then be assessed in a humanized mouse model of HIV-1 LEN treatment. LEN is under
investigation for pre-exposure prophylaxis; however, the transmissibility of LEN-resistant HIV-1 variants
remains unclear and may impact future prevention efforts. To address this, we will evaluate the transmission
efficiency of LEN-resistant variants in a humanized mouse model of mucosal transmission. CA mutations
conferring LEN resistance can affect multiple CA-dependent functions, potentially influencing viral
transmissibility. Correlates of transmission by LEN-resistant variants will be determined using both high-
throughput phenotypic assays and in vivo experiments."
"ANSORGE, MARK SASCHA",,Developmental Origins of Aggressive and Impulsive Behavior,758893,,2026-02-09T00:00:00,"Project Summary. Septal-hypothalamic neuronal activity centrally mediates aggressive behavior, while the
monoamine neurotransmitters dopamine and serotonin play strong and mostly opposing modulatory roles.
However, related circuit mechanisms and ontogeny are largely unknown. Making progress towards circuit
mechanism, we found in mice that dopamine input from the ventral tegmental area to the lateral septum is
sufficient for promoting aggression and necessary for establishing baseline aggression. Within the lateral
septum, dopamine acts on D2 receptors to inhibit GABA neurons that project to the hypothalamus. These
findings effectively link the clinically pertinent hyper-dopamine model of aggression with the classic septal-
hypothalamic aggression axis. Making progress towards ontogeny, we identified a sensitive developmental
window during adolescence where dopamine transporter blockade permanently increases adult aggression,
impulsivity, and behavioral stimulant response, and in parallel leads to a hyperactive dopamine system.
Conversely, periadolescent serotonin transporter blockade reduces aggression and behavioral stimulant
response in adulthood, and in parallel leads to a hypoactive dopamine system. Here we will continue this line of
research and study the overarching hypothesis that developmental DA and 5-HT signaling tunes DA input
into the LS and NAc to impact aggression-related behaviors in adulthood. In Aim 1, we investigate the
causal role of dopamine input into the nucleus accumbens in aggression-related behavior. Aggression is
behaviorally classified into reactive aggression which occurs impulsively in response to perceived external threat
and proactive aggression that is premeditated and directly motivated by a drive for appetitive reward. We
hypothesize that nucleus accumbens input contributes to the appetitive value in proactive aggression. In Aim 2,
we test the hypothesis that D2 receptors of the lateral septum contribute to sexual dimorphic differences in
aggressive behavior. We already found D2 receptors mediate dopamine-promoted aggression in male mice as
well as sexual dimorphism for D2 receptor expression. Furthermore, dopamine input into the lateral septum is
not sufficient to trigger aggression in females. In Aim 3, we investigate the causal role of serotonin input into the
lateral septum and nucleus accumbens in aggression-related behavior. Finally, in Aim 4, we investigate if
permanently altered DAergic input into the LS and NAc drives the aggression phenotypes after dopamine and
serotonin transporter blockade during development, by monitoring pathway-specific dopaminergic activity during
behavior, paired with optogenetic rescue experiments. By mapping circuits to behavior in the context of sensitive
developmental period interference, we will advance our understanding of normal as well as disrupted brain
development and function. Such information will impact the understanding of human risk factors for maladaptive
aggression and dopamine dysfunction. With the novel mechanistic and translational insight, we seek to inform
clinical and epidemiological studies and improve diagnosis, prevention and treatment strategies for in psychiatry."
"ANTALIS, TONI M",,Modulating the resolution of angiogenesis and normalization of the vasculature for therapeutic benefit,523364,,2026-02-13T00:00:00,"Cardiovascular diseases are a leading cause of morbidity and mortality worldwide. Defective vascular repair or
insufficient vascularization after disrupted or blocked blood flow often lead to ischemic peripheral artery diseases
and other cardiovascular disorders. Treatment options generally aim to re-establish blood flow through affected
vascular beds. Angiogenesis, or the formation of new blood vessels from existing vasculature, is fundamental
for forming and maintaining the microvascular network and blood vessels that are required for metabolically
active tissue growth and repair. Therapeutic angiogenesis is being actively pursued as a treatment to induce,
augment and control angiogenic responses and to restore blood supply to ischemic tissues. Most angiogenic
therapies have focused on activation of angiogenesis, using stimuli that promote the growth of new blood vessels
employing growth factors (e.g. VEGF), stem or progenitor cells, gene delivery and/or extracellular vesicles.
Outcomes have been mixed and have had limited therapeutic success. This is largely due to our incomplete
understanding of basic mechanisms that regulate the resolution of angiogenesis. Where the angiogenic
vasculature does not achieve resolution, the neovasculature is inherently leaky, disorganized, and unresolving,
resulting in edema, impaired function, and morbidity. What is poorly understood at this time are the fundamental
processes that regulate resolution of angiogenesis, so that more efficacious and specific therapeutic approaches
can be devised. We discovered that the membrane-anchored serine protease, testisin, is a novel proteolytic
orchestrator of microvascular endothelial cell remodeling during resolution of angiogenesis. Strong preliminary
data show that that testisin promotes VE-cadherin inter-junctional adhesions, suppresses a G-protein coupled
protease activated receptor-2-dependent proangiogenic signaling pathway and directs the laying down of a
provisional fibrin matrix required for directed endothelial cell migration for reparative angiogenesis. These unique
activities are unexpected, and reveal a major gap in our understanding of modulators of angiogenic pathways
utilized by endothelial cells to repair and normalize vasculature. The proposed research plan will utilize a
combination of molecular biology, biochemistry and cell biology techniques, in concert with several in vivo mouse
models to address the following specific aims: 1) to define mechanisms by which testisin deficiency impairs
resolution of angiogenesis, and 2) to test the therapeutic efficacy of augmenting the testisin pathway to promote
resolution of angiogenesis. Augmentation of natural processes that facilitate the normalization of vasculature
has potential for treatment of diseases that are perpetuated by unresolving or insufficient angiogenesis, and for
enhancing effective delivery of cancer therapeutics."
"ARAI, KEN ",,The effect of circadian rhythm disruptions on the angiogenic response to hypoperfusion in the AD brain,683192,,2026-02-09T00:00:00,"PROJECT SUMMARY/ABSTRACT
Although the pathophysiology of Alzheimer’s Disease (AD) is complex and multifactorial, vascular comorbidities
and cerebrovascular insufficiency occur in almost two-thirds of AD patients. However, how cerebrovascular
insufficiency interacts with and contributes to AD remains poorly understood. Recently, the brain vasculome (i.e.
transcriptome profiles of cerebral endothelial cells and pericytes) has been proposed as a conceptual
framework to investigate vascular mechanisms in CNS diseases. In response to RFA-AG-23-014 (Mechanisms
of Brain Hypoperfusion in AD/ADRD), we propose to test the hypothesis that cerebrovascular insufficiency
perturbs the AD brain vasculome, eventually leading to cognitive impairment.
The normal brain compensates for hypoperfusion by inducing endogenous vascular remodeling and
angiogenesis. The presence of AD interferes with endogenous angiogenesis and vascular recovery in response
to hypoperfusion, and this exacerbates AD progression and worsens the AD brain vasculome. Because
circadian rhythms and circadian genes are known to regulate angiogenesis, we further hypothesize that AD
disrupts circadian homeostasis in the brain vasculome, thus interfering with the endogenous angiogenic
response to hypoperfusion.
The importance of investigating these interactions between AD, vascular responses, and circadian rhythms is
emphasized by our pilot data. For example, we show a greater difference in transcriptome profiles of cerebral
endothelial cells and pericytes of wild-type vs AD mice when tested during the active (awake) phase compared
to the inactive (sleep) phase. For testing our hypotheses, we propose three integrated aims. Aim 1 will show
that AD brains exhibit a lower capacity of compensatory angiogenesis in response to hypoperfusion, and Aim 2
will show that circadian rhythms are disrupted in AD brains and that disrupted circadian rhythms suppress
angiogenic response. And finally, Aim 3 will examine whether re-normalizing circadian rhythms improves the
brain vasculome and promotes angiogenesis after hypoperfusion in AD mice.
Whether and how AD brains lose compensatory angiogenesis capacity after cerebral hypoperfusion is unknown.
Therefore, we have designed a multi-disciplinary multi-lab project to fill this gap of knowledge by examining how
perturbations in circadian rhythms disrupt the brain vasculome and worsen hypoperfusion in AD."
"AREPALLY, GOWTHAMI M",,Complement and thrombosis in HIT,683259,,2026-02-09T00:00:00,"ABSTRACT
Heparin-induced thrombocytopenia (HIT) is a thrombotic disorder caused by ultra-large immune complexes
(ULICs) composed of IgG antibodies (Abs) to platelet factor 4 (PF4) and heparin (H). Even with prompt
recognition, discontinuation of heparin, and institution of alternative anticoagulants, thrombotic risk remains high
and persists for weeks. Studies from our last funding cycle suggest that therapy targeting complement may
improve outcomes. We showed that HIT ULICs potently activate the classical pathway of complement, elicit
complement-dependent binding of ICs to neutrophils (PMNs) and monocytes, and promote Fcγ receptor (FcγR)-
dependent PMN degranulation and monocyte tissue factor (TF) expression. Importantly, we saw striking
differences in complement-dependent responses to HIT ULICs formed in the presence and absence of heparin.
With heparin, HIT Abs bind to circulating PF4/H complexes forming soluble ULICs that bind to PMNs/monocytes
in a complement-dependent manner to promote leukocyte-driven cytokine release and monocyte TF expression.
Without heparin, HIT Abs bind to cell-surface GAGs on endothelial cells (ECs) and platelets, rather than white
cells, forming cell-bound ICs that drive complement-mediated platelet adhesion and EC procoagulant activity.
Based on these observations, we will test the hypothesis that complement responses to HIT ULICs are impacted
by heparin itself and involve distinct cellular targets, activation pathways and effector mechanisms though the
following specific aims: 1) Cell injury by soluble HIT ULICs requires complement and Fcγ receptors. We
show the importance of the proximal complement pathway (C1/C3) for binding of soluble HIT ULICs to PMNs
and monocytes via complement receptors (CRs). We hypothesize that binding of soluble HIT ULICs to CR1/CR3
initiates cell signaling and cytoskeletal reorganization, FcγR clustering, membrane scramblase and monocyte TF
expression. 2) Cell-bound HIT ICs promote complement-dependent platelet adhesion and direct
endothelial injury. We show terminal complement pathway mediated platelet adhesion to injured EC and
upregulation of EC procoagulant activity by cell-bound ICs. We hypothesize that cell-bound HIT Abs initiate
sublytic C5aR-mediated membrane injury leading to further upregulation of C5aRs, release of high molecular
weight von Willebrand Factor multimers, and C5aR-dependent TF expression. 3) Complement activation as a
biomarker for pathogenic HIT antibodies. Our studies show a strong correlation of complement activation with
platelet-activating effects of HIT ULICs. We will test the hypothesis that complement activation identifies a subset
of pathogenic HIT Abs by characterizing the biologic properties of HIT IgG Abs that do/do not activate
complement and form soluble and cell-bound ULICs, develop complement activation as a biomarker assay, and
examine complement’s role in the therapeutic efficacy of intravenous immunoglobulin. Together, these proposed
studies of complement in HIT will advance our understanding of its underlying pathology, should improve
diagnostic testing and position complement inhibitors as adjunctive therapy for this prothrombotic disorder."
